"No","Judul","Subjudul","Pengarang","Priority","Tahun","Penerbit","Bahasa","Page","TTD"
41,"Batavia","Kisah Jakarta Tempo Doeloe","Intisari",4,1988,"Intisari","ID",192,"2014/Bandung"
50,"The Cashflow Quadrant","Panduan Ayah kaya menuju kebebasan Finansial","Robert T. Kiyosaki",4,2006,"GPU","ID/Terj",330,"2015/Mei/Bandung"
51,"Quantum Business","Membiasakan Berbisnis Secara Etis dan Sehat","Bobbi DePorter",4,2000,"Penerbit Kaifa","ID/Terj",405,"2015/Mei/Bandung"
52,"Solusi Untuk Indoensia","Prekdisi Ekonofisik/kompleksitas","Yohanes Surya et.all",4,2008,"Kandel","ID",400,"2015/Mei/Bandung"
79,"Tiga Guru Satu Ajaran","Kehidupan dan Ajaran Kebenaran Siddharta Gautama, Conficius, dan Lau Zi","Sutradharma Tj. Sudarman",4,1998,"Yayasan Dhammadasa","ID",308,"2016/Desember/Bandung"
80,"Ada Apa dengan Cinta","Adaptasi dari Film","Silvarani",4,2016,"GPU","ID",186,"2016/Desember/Bandung"
104,"Tuhan ada Di Mana-mana","Be The Miracle. 50 Perjalanan untuk mewujudkan Mukjizat dalam hidup kita","Regina Brett",4,2012,"Gramedia","ID/Terj",335,"2016/Oktober/Bandung"
105,"Aspire","11 Kata yang akan mengubah kehidupan anda","Kevin Hall",4,2009,"Gramedia","ID/Terj",238,"2016/Oktober/Bandung"
106,"Rahasia Kecerdasan Anak","Memaksimalkan Perkembangan Otak",,4,2010,"Kompas Gramedia","ID",228,"2016/Oktober/Bandung"
120,"Sejarah Kerajaan Allah","Perjanjian baru","Prof. Dr. J.H Bavink",4,1982,"Nilakandi","ID/Terj",468,"2016/September/Bandung"
157,"The Most Dangerous Man in The World","-","Andrew Fowler",4,2015,"Penerbit Bentang Pustaka (Mizan)","ID/Terj",366,"2017/April/BSD"
176,"Dari Marga Untuk Gereja dan Bangsa","Menuju Indonesia yang dicita-citakan","Hari S Soba",4,2007,"Alumni PMKRI","ID",179,"2017/Juli/Bandung"
179,"Sukarno","Bapak Bangsa Indonesia","Darmawan MM",4,2005,"Penerbit Hikayat Dunia","ID",553,"2017/Juni/Bandung"
